123 Jan Kowalski
234 Zbigniew Nowak
432 Stefan Malik
675 Marian Kania
964 Maria Kos
409 Marcin Kosowski
765 Krystyna Ociepka
942 Anna Komorowska
597 Wacław Matlak
675 Marian Kania
964 Maria Kos
409 Marcin Kosowski
123 Jan Kowalski
234 Zbigniew Nowak
597 Wacław Matlak
675 Marian Kania
234 Zbigniew Nowak
432 Stefan Malik
675 Marian Kania
964 Maria Kos
409 Marcin Kosowski
765 Krystyna Ociepka
765 Krystyna Ociepka
942 Anna Komorowska
597 Wacław Matlak
675 Marian Kania
964 Maria Kos
409 Marcin Kosowski
123 Jan Kowalski
123 Jan Kowalski
234 Zbigniew Nowak
432 Stefan Malik
675 Marian Kania
964 Maria Kos
409 Marcin Kosowski
765 Krystyna Ociepka
571 Marta Kania
907 Justyna Nowak
